x y_modified
1.0 0.00126
0.998459 0.0014791481769553664
0.993844 0.002169809155728471
0.986185 0.003428723117450791
0.975528 0.005395135207921268
0.96194 0.008224498038407194
0.945503 0.012028928581180723
0.92632 0.01682669660395811
0.904508 0.02249647054432516
0.880203 0.028776634268766442
0.853553 0.03531555070143455
0.824724 0.041761896615156884
0.793893 0.04784743049733726
0.761249 0.05343691124878566
0.726995 0.05851680126067981
0.691342 0.06314404015655477
0.654508 0.0673849829143175
0.616723 0.07127373296290215
0.578217 0.07479247599277482
0.53923 0.07788508390138406
0.5 0.08047580727478752
0.46077 0.0824867300223814
0.421783 0.08384998538503764
0.383277 0.08451682653804174
0.345492 0.08445348372266358
0.308658 0.08363651773917684
0.273005 0.08205604314802672
0.238751 0.07971177583129262
0.206107 0.07661220162754928
0.175276 0.07277874663014045
0.146447 0.06824422185431665
0.119797 0.06305492283700774
0.095492 0.05726885295115437
0.07368 0.050957336474720005
0.054497 0.04420466738974139
0.03806 0.03710056146612251
0.024472 0.02974550757266197
0.013815 0.02224553350365252
0.006156 0.01470669731253476
0.001541 0.007243054492923897
0.0 0.0
0.001541 -0.006428068365161743
0.006156 -0.012032473847582659
0.013815 -0.016945913170656905
0.024472 -0.02123361520149362
0.03806 -0.024944145367790917
0.054497 -0.028107839970018113
0.07368 -0.03074531550070398
0.095492 -0.032871919677258825
0.119797 -0.03449506027046302
0.146447 -0.035622557781585046
0.175276 -0.036266349594064266
0.206107 -0.03644203930873886
0.238751 -0.03617306675258615
0.273005 -0.03549067513007832
0.308658 -0.03443627230589017
0.345492 -0.03305767102279558
0.383277 -0.0314085349504235
0.421783 -0.02954720242774554
0.46077 -0.027526804765319664
0.5 -0.02539175623577992
0.53923 -0.02317807144616905
0.578217 -0.020909903775279057
0.616723 -0.01860768086274949
0.654508 -0.016304031188694015
0.691342 -0.014061268655955028
0.726995 -0.011974090470887298
0.761249 -0.010164383007969437
0.793893 -0.008745810542673269
0.824724 -0.007776503200579302
0.853553 -0.007220968808131971
0.880203 -0.006944774713865375
0.904508 -0.006746470362487328
0.92632 -0.00642951599538287
0.945503 -0.005865507866187038
0.96194 -0.005034666083731658
0.975528 -0.00402061196199569
0.986185 -0.0029786513771040742
0.993844 -0.002078973516870969
0.998459 -0.0014734077938549656
1.0 -0.00126
